skill
python
sql
machine learning
deep learning
tensorflow
keras
pytorch
pandas
numpy
scikit-learn
power bi
excel
tableau
nlp
generative ai
llm
langchain
streamlit
flask
docker
aws
git
github
statistics
data analysis
data visualization
